name,job,birth_date,entry_date,last_promotion_date
祁健,处长,1983-06-24,2017-01-27,2019-10-20
袁强,四级科员,1967-07-03,1999-08-15,2009-05-27
伍健,副处长,1982-04-18,2010-10-03,2017-01-11
庞健,三级科员,1995-12-16,2018-12-16,2020-05-24
褚勇,副处长,1977-10-18,2003-09-21,2018-08-29
潘健,三级科员,1961-06-29,1995-07-20,2010-07-06
伏杰,副处长,1955-07-05,2018-09-07,2020-06-09
汤毅,副处长,1988-11-21,2008-04-29,2018-01-26
平刚,处长,1961-02-27,1996-12-16,2006-05-04
计军,副处长,1981-02-09,2003-10-02,2021-08-16
吕勇,一级科员,1989-06-27,2016-03-25,2019-05-01
花强,四级科员,1982-06-27,2020-08-31,2022-03-26
袁军,一级科员,1974-10-19,2020-09-27,2022-07-17
毛毅,一级科员,1960-04-07,2016-08-16,2021-08-12
窦伟,四级科员,1969-03-16,2020-11-11,2022-11-22
黄杰,处长,1963-04-20,1999-06-06,2005-02-22
滕勇,三级科员,1955-01-16,2006-09-10,2019-11-26
钱刚,四级科员,1973-07-26,1998-01-12,2011-06-15
严强,四级科员,1998-03-17,2020-10-11,2022-02-11
郎军,四级科员,1987-02-10,2019-07-23,2021-03-10
冯强,四级科员,1956-02-08,2017-10-09,2021-12-25
顾军,二级科员,1968-09-19,2018-06-15,2022-11-08
施毅,一级科员,1962-03-12,1993-09-23,2003-06-04
周军,副处长,1997-11-02,2019-01-14,2022-03-22
苏俊,三级科员,1958-08-05,2006-06-07,2010-12-31
郎勇,处长,1989-08-21,2015-03-08,2018-03-24
卞刚,一级科员,1974-12-03,2011-07-04,2020-07-05
张俊,四级科员,1977-03-24,2017-04-07,2019-10-07
吕强,副处长,1974-04-21,1994-07-22,1997-09-25
范杰,三级科员,1991-11-09,2013-10-13,2017-10-30
尤军,二级科员,1970-05-09,1998-01-04,2007-02-10
马伟,副处长,1968-12-15,2000-01-19,2020-01-14
朱俊,副处长,1966-09-19,1996-10-07,2004-07-18
任军,三级科员,1971-02-27,2013-10-25,2015-01-18
明强,四级科员,1961-06-11,2006-04-05,2015-02-02
昌毅,一级科员,1964-07-12,2012-06-13,2014-08-22
齐军,一级科员,1980-12-20,2006-12-12,2018-03-22
范毅,处长,1971-03-14,2010-10-07,2015-03-07
谈伟,副处长,1990-12-29,2018-10-20,2022-04-15
许刚,副处长,1962-12-06,2003-05-23,2021-03-25
禹健,处长,1998-10-26,2020-04-06,2022-12-06
薛峰,三级科员,1962-05-16,2017-11-20,2019-11-29
苏健,副处长,1964-07-30,1988-05-27,2012-03-02
屈刚,一级科员,1958-11-01,1990-06-08,2003-12-16
滕毅,三级科员,1982-06-14,2004-02-09,2016-04-21
花健,二级科员,1987-02-13,2016-03-24,2018-01-01
祝强,三级科员,1993-11-05,2016-02-27,2018-12-19
明峰,处长,1987-02-15,2019-02-19,2021-06-26
昌强,二级科员,1961-10-15,1981-10-29,2020-05-02
金军,四级科员,1998-07-14,2020-08-13,2022-07-11
施健,四级科员,1994-09-05,2020-04-26,2022-07-02
陈毅,四级科员,1999-05-12,2020-11-29,2022-04-03
张毅,三级科员,1974-01-09,2001-01-12,2020-09-12
明刚,一级科员,1990-06-10,2012-11-25,2014-07-08
萧健,三级科员,1996-12-15,2016-05-09,2022-11-11
曹刚,副处长,1999-08-13,2019-10-04,2022-12-02
米健,二级科员,1981-07-24,2014-10-27,2016-05-29
方毅,三级科员,1956-03-29,1993-08-12,2005-05-12
董健,副处长,1994-03-24,2015-02-23,2019-06-11
倪峰,二级科员,1992-07-19,2016-09-25,2018-10-26
齐峰,副处长,1967-06-05,2010-05-14,2019-02-19
毕伟,三级科员,1956-02-25,2019-03-24,2021-03-20
余俊,处长,1963-03-08,2004-12-15,2021-02-05
韩伟,副处长,1979-09-02,2000-05-18,2005-11-14
吕刚,四级科员,1995-04-24,2016-06-01,2022-02-13
施峰,三级科员,1983-09-15,2010-04-04,2022-01-03
袁杰,处长,1982-11-23,2005-05-28,2013-05-21
舒毅,二级科员,1996-05-19,2020-09-13,2022-06-03
安杰,三级科员,1970-08-02,1995-08-08,2014-04-23
钱峰,二级科员,1994-04-12,2015-11-14,2020-08-05
舒健,四级科员,1988-06-16,2010-05-25,2013-02-11
孙伟,三级科员,1966-08-03,2010-03-13,2015-03-27
湛俊,三级科员,1960-05-15,2009-07-29,2017-09-30
邬军,一级科员,1989-06-07,2017-03-25,2019-08-09
舒刚,一级科员,1971-08-05,2004-07-23,2007-12-16
史毅,三级科员,1971-10-29,1995-05-31,2005-04-02
项勇,三级科员,1956-10-14,1985-10-20,2015-06-24
康刚,三级科员,1960-01-29,2000-03-15,2003-06-14
元军,四级科员,1966-08-24,1997-12-01,2013-06-05
昌军,二级科员,1967-06-06,2006-03-17,2019-04-10
岑俊,一级科员,1967-09-26,2014-09-27,2022-09-17
薛勇,四级科员,1996-03-29,2017-08-11,2019-09-14
葛刚,处长,1997-12-26,2018-11-09,2022-06-30
俞勇,三级科员,1968-03-29,1999-04-23,2020-04-01
严伟,处长,1995-01-14,2019-02-03,2021-11-22
毕健,一级科员,1995-04-02,2017-01-07,2020-07-04
奚健,一级科员,1979-08-31,2012-10-28,2017-12-13
张强,处长,1970-05-19,2013-05-01,2017-05-12
宋伟,三级科员,1996-12-05,2017-02-16,2020-10-04
郑军,四级科员,1962-12-03,1992-02-09,2002-08-28
马刚,四级科员,1955-11-05,1994-03-07,2022-07-13
周勇,三级科员,1984-10-25,2008-03-24,2017-05-02
戴毅,三级科员,1987-09-15,2019-08-23,2021-03-10
戴健,一级科员,1962-04-03,2013-11-29,2019-08-12
成军,副处长,1984-08-13,2015-05-04,2021-08-06
鲍军,一级科员,1967-03-02,1989-06-14,2004-01-25
柳军,二级科员,1966-01-27,1999-10-01,2006-06-11
彭毅,四级科员,1976-10-08,2018-12-06,2020-05-03
吴杰,二级科员,1970-05-20,2008-04-12,2015-03-20
王杰,副处长,1999-11-30,2019-04-03,2021-06-07
冯军,二级科员,1965-12-03,2011-04-16,2021-03-17
沈健,副处长,1975-12-19,2007-05-04,2016-02-09
谈军,四级科员,1991-11-04,2017-01-19,2020-12-17
孟军,四级科员,1959-07-27,2012-12-15,2018-07-06
何伟,三级科员,1971-06-04,2013-08-25,2018-11-20
赵峰,副处长,1979-04-17,2014-06-09,2021-03-26
时杰,二级科员,1999-02-28,2020-01-14,2022-05-17
萧军,三级科员,1984-12-30,2017-02-21,2019-05-22
郝健,四级科员,1980-08-11,2013-02-07,2022-01-20
黄毅,处长,1989-08-22,2018-10-24,2020-01-11
祝杰,副处长,1976-10-23,2020-08-02,2022-07-03
褚军,四级科员,1999-03-24,2019-09-01,2021-08-08
邵俊,一级科员,1971-01-28,2007-05-07,2022-02-03
安俊,四级科员,1994-05-27,2014-06-02,2017-07-06
倪杰,处长,1958-11-18,2014-02-26,2022-10-09
马峰,四级科员,1960-11-20,2012-03-17,2016-08-26
苗强,一级科员,1984-03-18,2015-08-21,2021-04-02
花军,副处长,1959-04-27,1988-04-01,2021-03-13
奚军,副处长,1999-08-31,2019-07-25,2021-01-01
罗勇,处长,1990-02-20,2010-10-23,2020-06-24
尤毅,副处长,1968-09-30,1988-07-30,1999-09-28
孙健,一级科员,1988-01-31,2019-10-01,2022-11-05
邹峰,副处长,1970-09-01,2009-06-24,2018-01-03
昌勇,三级科员,1996-05-13,2016-08-04,2021-02-20
邹毅,处长,1999-09-18,2019-04-11,2021-08-09
朱健,二级科员,1956-02-26,2014-08-15,2018-04-05
王峰,副处长,1963-03-08,2002-06-23,2017-06-24
范军,三级科员,1969-05-05,1993-04-07,2000-05-20
邬刚,三级科员,1957-01-01,2015-03-31,2022-12-12
薛刚,处长,1999-01-24,2019-07-22,2022-06-02
臧勇,处长,1981-09-04,2005-03-02,2022-05-17
俞军,三级科员,1964-08-14,1987-10-18,1989-05-01
谢军,处长,1972-11-20,2009-03-08,2021-04-17
秦俊,二级科员,1962-01-09,1983-07-13,2003-09-29
谢勇,处长,1982-12-23,2019-04-27,2022-07-14
安强,三级科员,1981-03-31,2019-02-09,2021-10-16
钱军,四级科员,1982-05-10,2018-05-15,2021-04-25
倪强,副处长,1979-03-18,2008-07-24,2020-07-01
王刚,三级科员,1986-08-22,2017-05-11,2022-11-28
章健,二级科员,1975-12-31,2012-11-20,2015-07-14
云刚,副处长,1965-01-02,2018-05-23,2021-11-23
许军,二级科员,1965-01-12,2015-05-30,2017-09-18
卫峰,三级科员,1998-09-04,2018-09-09,2021-01-27
卞峰,四级科员,1990-02-21,2013-07-31,2020-07-08
时健,处长,1974-01-05,2012-04-08,2015-05-26
皮伟,三级科员,1972-07-22,2000-11-14,2017-12-28
茅峰,处长,1998-12-23,2019-12-20,2021-04-07
孔峰,处长,1963-11-10,1989-04-01,2021-07-30
康杰,处长,1991-11-27,2014-08-02,2021-01-24
水峰,三级科员,1980-08-23,2012-08-11,2021-10-29
潘勇,三级科员,1957-09-28,1984-04-20,2001-12-04
酆杰,处长,1973-03-13,1993-11-21,2017-07-29
湛勇,四级科员,1985-10-16,2018-12-19,2021-09-16
伏峰,三级科员,2000-08-06,2020-08-11,2022-07-09
郝军,处长,1983-09-17,2013-03-06,2016-01-25
明健,四级科员,1968-05-27,2003-06-25,2008-09-21
柏刚,二级科员,1967-05-12,2011-08-05,2014-09-12
卜刚,处长,1981-11-14,2008-07-31,2014-03-30
元健,二级科员,1988-10-07,2015-08-20,2020-01-03
薛俊,三级科员,1986-06-05,2014-02-05,2018-03-28
安健,处长,1989-09-25,2018-09-09,2022-01-13
尹强,二级科员,2000-01-02,2020-12-15,2022-06-23
殷峰,四级科员,1967-04-06,2005-11-07,2014-05-19
章伟,处长,1963-08-06,1996-08-12,2020-11-06
冯峰,一级科员,1968-12-10,2017-01-01,2021-07-26
卞杰,二级科员,1979-02-23,2014-02-06,2017-07-10
葛军,一级科员,1985-07-28,2020-08-08,2022-11-28
吴健,一级科员,1955-02-06,2013-02-28,2021-09-13
傅刚,三级科员,1980-05-18,2005-04-21,2017-08-27
苏毅,三级科员,1968-08-19,1996-03-30,2015-04-08
殷杰,副处长,1970-03-13,2017-05-07,2020-04-24
伍勇,一级科员,1965-03-23,2003-07-27,2011-07-15
秦勇,一级科员,1963-10-08,1999-06-23,2010-04-24
韩峰,四级科员,1956-10-10,2013-03-09,2017-08-22
费刚,处长,1971-04-25,2014-04-28,2019-07-27
雷强,三级科员,1982-04-01,2009-07-29,2011-07-12
罗军,二级科员,1984-07-31,2010-10-01,2015-06-30
时峰,三级科员,1965-07-09,2002-02-09,2012-09-09
水杰,三级科员,1989-12-31,2020-10-14,2022-07-21
尹健,副处长,1965-02-23,2005-08-17,2011-10-22
梁伟,一级科员,1979-09-22,2004-04-28,2019-04-20
云杰,处长,1963-01-03,2015-05-31,2020-11-08
傅俊,三级科员,1969-01-11,1995-10-04,2010-05-29
舒强,副处长,1982-06-27,2018-01-10,2021-05-21
葛健,处长,1987-12-27,2011-01-22,2022-08-08
安军,二级科员,1982-11-09,2015-08-21,2017-08-06
昌伟,四级科员,1966-07-31,2009-03-17,2013-10-11
韦伟,一级科员,1985-09-08,2008-06-12,2018-06-11
明军,副处长,1995-11-16,2015-07-14,2021-07-21
水健,一级科员,1997-06-05,2020-08-01,2022-03-26
花峰,处长,1968-02-11,1993-03-14,2010-09-09
姚刚,副处长,1997-07-25,2020-04-18,2022-08-17
殷强,四级科员,1963-04-01,2015-10-30,2021-02-19
廉健,处长,1994-12-22,2018-06-28,2020-10-12
郝杰,四级科员,1969-07-08,1992-08-17,2013-04-06
王军,处长,1960-05-07,1980-06-25,2016-10-22
彭强,处长,1980-11-24,2015-11-26,2019-05-19
卫健,一级科员,1981-12-23,2019-11-02,2021-06-21
伏毅,处长,1961-06-13,1991-06-15,2016-10-14
狄杰,一级科员,1965-07-31,1991-03-04,2013-01-25
邵杰,处长,1969-02-23,2007-02-13,2013-03-10
毛俊,二级科员,1995-05-29,2016-03-26,2021-07-20
郎健,三级科员,1995-12-04,2018-04-14,2022-11-07
费俊,四级科员,1980-05-03,2015-11-28,2021-08-05
鲁杰,副处长,1956-01-16,2003-03-01,2010-01-21
计健,四级科员,1970-07-02,2012-04-23,2021-04-10
伏刚,三级科员,1996-05-12,2016-10-15,2022-12-14
时军,二级科员,1985-07-10,2018-03-25,2022-05-27
姚峰,三级科员,1973-04-20,2001-01-05,2004-11-02
计杰,处长,1962-01-07,2016-06-14,2022-10-31
岑杰,一级科员,1976-04-24,2016-07-09,2019-09-05
齐毅,二级科员,1983-04-30,2010-09-20,2017-05-25
昌杰,副处长,1983-03-06,2017-02-02,2021-09-30
屈勇,副处长,1978-09-22,2019-11-24,2021-07-07
梁峰,三级科员,1959-12-19,2013-05-10,2022-11-08
伍刚,处长,1960-05-06,2008-04-03,2021-11-12
许健,处长,1969-11-07,2006-12-02,2017-12-09
雷军,二级科员,1969-09-30,1999-10-07,2013-02-16
和杰,副处长,1990-09-17,2017-01-30,2022-01-27
伏健,三级科员,1996-01-22,2020-10-25,2022-06-13
于峰,副处长,1989-07-01,2014-11-16,2017-12-21
纪伟,副处长,1999-04-05,2019-05-24,2021-12-15
宋健,处长,1992-09-14,2013-04-24,2017-02-14
姚勇,二级科员,1975-02-07,1998-01-11,2019-11-14
成毅,处长,1962-06-23,1999-02-01,2012-01-29
魏杰,处长,1965-12-10,2006-08-15,2014-08-31
邬强,处长,1965-07-17,1990-02-01,1994-07-22
葛杰,一级科员,1967-05-21,1991-07-06,1995-08-23
屈军,副处长,1983-08-08,2016-06-10,2021-04-01
喻刚,处长,1966-06-14,1987-11-06,1995-04-02
常毅,二级科员,1998-01-11,2020-07-07,2022-01-25
邬伟,四级科员,1962-05-24,1996-08-04,2001-07-24
苏峰,三级科员,1963-04-11,2004-11-11,2017-05-29
余军,处长,1999-05-05,2019-07-19,2021-08-24
何军,四级科员,1976-04-26,2000-10-07,2008-03-15
窦军,一级科员,1966-08-02,1989-07-22,1999-11-30
黄伟,三级科员,1975-11-06,2018-05-02,2021-09-14
熊峰,三级科员,1995-10-29,2019-07-03,2022-09-02
贺健,一级科员,1978-02-04,2020-01-25,2022-11-19
姜杰,处长,1990-04-14,2013-11-14,2019-12-20
滕健,一级科员,1974-01-09,1999-06-29,2016-08-21
水毅,四级科员,1970-12-30,2006-12-31,2014-10-09
鲍健,二级科员,1981-02-06,2006-07-26,2014-07-16
米勇,副处长,1969-03-21,2003-10-24,2010-06-18
柳杰,一级科员,1975-03-21,2016-02-26,2018-02-28
汤军,四级科员,1958-07-06,2014-06-27,2016-05-23
李军,处长,1997-12-22,2020-08-18,2022-10-03
水刚,副处长,1974-07-18,2015-03-10,2017-02-09
邵军,四级科员,1960-02-14,1980-02-17,2017-01-11
云强,处长,1974-06-10,2005-10-16,2020-05-02
杨健,三级科员,1963-03-18,2000-10-20,2013-10-30
齐杰,副处长,1990-08-04,2015-07-22,2018-06-17
戚刚,三级科员,1997-02-12,2017-02-20,2022-10-08
卜俊,四级科员,1990-08-04,2012-06-25,2021-05-14
云健,二级科员,1985-10-03,2006-06-29,2022-11-23
茅杰,处长,1966-07-20,2013-06-07,2017-08-15
齐勇,一级科员,1957-07-29,2005-09-25,2014-08-06
沈毅,处长,1993-02-26,2017-05-31,2020-01-13
奚勇,处长,1974-07-17,2015-10-30,2019-08-15
喻俊,一级科员,1961-04-01,2002-08-24,2014-02-11
李勇,二级科员,1989-06-05,2018-06-23,2021-08-01
曹健,一级科员,1959-07-05,1983-01-09,2017-01-15
钱俊,三级科员,1997-10-26,2018-08-26,2021-04-14
王伟,副处长,1958-06-17,2014-08-02,2019-05-12
潘刚,副处长,1996-10-16,2019-09-19,2021-07-19
罗杰,副处长,1997-11-14,2018-08-23,2020-01-03
计毅,副处长,1991-01-23,2016-10-21,2018-03-13
奚杰,处长,1973-05-25,1994-04-28,2001-04-16
严刚,二级科员,1965-12-02,1992-10-30,2009-05-28
黄俊,副处长,1971-04-29,2014-04-06,2018-08-29
史强,副处长,1969-09-14,1992-12-27,2013-06-16
湛峰,四级科员,1978-09-23,2020-04-12,2022-06-26
孟健,二级科员,1961-03-07,1994-03-29,2004-05-02
韦军,二级科员,1995-07-28,2019-12-11,2022-09-05
酆伟,处长,1981-09-01,2006-09-08,2008-01-07
吴强,处长,1979-02-02,2017-09-24,2020-03-07
邵健,一级科员,1961-01-20,2015-09-13,2017-07-29
奚峰,处长,1992-02-09,2012-01-24,2018-07-12
韦勇,二级科员,1994-12-12,2019-01-17,2021-07-15
许伟,一级科员,1988-09-12,2013-11-16,2020-06-25
岑勇,四级科员,1989-10-25,2019-12-02,2021-09-24
吴刚,处长,1980-11-29,2014-04-23,2020-10-31
孙俊,三级科员,1972-06-27,2015-11-07,2019-11-16
郑峰,一级科员,1967-08-29,1996-02-05,2015-05-12
陶勇,处长,1988-12-17,2015-04-28,2020-01-05
殷健,四级科员,1973-03-27,1993-11-23,2012-10-05
柏军,处长,1996-05-01,2019-11-27,2022-02-26
唐军,副处长,1976-12-03,2009-01-05,2018-06-18
施俊,二级科员,2000-05-04,2020-01-25,2022-09-03
孟俊,副处长,1974-02-02,2005-10-17,2008-11-27
曹勇,一级科员,1975-06-10,1998-03-25,2001-10-22
