"姓名","现工作单位及职务","性别","民族","籍贯","出生年月","参加工作时间","任现职务时间","任现职级时间","入党时间","全日制学历学位","全日制毕业院校及专业","在职学历学位","在职毕业院校及专业","任二主时间"
"鲁把健","部门三\n四级调研员","女","汉","四川成都","1972.07","1993.01","2013.06","2013.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"韦只健","部门四\n四级主任科员","女","汉","四川成都","1988.04","2010.12","2015.04","2015.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"卫学刚","部门三\n四级调研员","女","汉","四川成都","1957.05","2006.07","2013.08","2013.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"花好俊","部门一\n三级调研员","男","汉","四川成都","1996.08","2016.06","2019.11","2019.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"严大健","部门一\n三级调研员","女","汉","四川成都","1983.07","2016.10","2021.07","2021.07","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"伏那么健","部门四\n一级科员","女","汉","四川成都","1981.06","2014.07","2020.04","2020.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"潘国俊","部门五\n二级科员","男","汉","四川成都","1962.12","2009.10","2017.06","2017.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"昌不刚","部门一\n三级调研员","男","汉","四川成都","1971.08","2007.07","2022.12","2022.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"任中军","部门三\n二级调研员","男","汉","四川成都","1986.11","2010.03","2017.12","2017.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"苗只强","部门三\n四级调研员","男","汉","四川成都","1989.02","2012.05","2014.11","2014.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"余他毅","部门五\n三级主任科员","女","汉","四川成都","1993.02","2019.04","2022.05","2022.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"汪一伟","部门一\n二级主任科员","男","汉","四川成都","1988.07","2013.05","2019.02","2019.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"郎使俊","部门三\n一级主任科员","男","汉","四川成都","1987.09","2012.08","2014.08","2014.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"顾真伟","部门二\n三级调研员","女","汉","四川成都","1967.10","2015.01","2021.04","2021.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"马很伟","部门三\n二级调研员","女","汉","四川成都","1992.05","2020.06","2022.09","2022.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"齐故健","部门三\n三级主任科员","女","汉","四川成都","1981.02","2012.11","2022.04","2022.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"苏还伟","部门四\n三级调研员","女","汉","四川成都","1993.11","2017.02","2020.12","2020.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"贺时勇","部门四\n三级主任科员","男","汉","四川成都","1958.11","2014.02","2020.04","2020.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"马起来俊","部门一\n四级调研员","女","汉","四川成都","1975.11","2005.12","2008.10","2008.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"倪做军","部门四\n二级调研员","女","汉","四川成都","1998.09","2019.04","2022.09","2022.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"孙和军","部门二\n二级调研员","女","汉","四川成都","1995.02","2020.04","2022.03","2022.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"许里峰","部门二\n副处长","男","汉","四川成都","1966.03","1995.05","2019.09","2019.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"皮老毅","部门四\n二级调研员","男","汉","四川成都","1971.02","1996.07","1999.02","1999.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"柏大伟","部门三\n四级调研员","男","汉","四川成都","1986.10","2018.07","2022.04","2022.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"平天军","部门四\n二级科员","男","汉","四川成都","1996.02","2019.10","2021.08","2021.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"姜了俊","部门一\n四级主任科员","男","汉","四川成都","1964.03","2019.07","2022.11","2022.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"金人杰","部门一\n三级调研员","男","汉","四川成都","1967.05","1995.07","1998.01","1998.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"王中军","部门五\n三级调研员","男","汉","四川成都","1987.05","2014.08","2018.06","2018.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"米能强","部门三\n四级调研员","男","汉","四川成都","1987.02","2014.01","2021.05","2021.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"周了军","部门五\n三级主任科员","男","汉","四川成都","1971.04","1996.12","2006.09","2006.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"俞她军","部门一\n二级调研员","男","汉","四川成都","1961.02","1994.08","1998.03","1998.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"褚他毅","部门二\n二级调研员","女","汉","四川成都","1975.01","1996.02","2002.03","2002.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"马以健","部门二\n四级主任科员","男","汉","四川成都","1965.05","2001.10","2009.09","2009.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"曹个军","部门四\n二级调研员","女","汉","四川成都","1995.07","2020.09","2022.02","2022.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"计开俊","部门一\n四级主任科员","男","汉","四川成都","1980.03","2012.03","2018.06","2018.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"顾因伟","部门二\n四级调研员","男","汉","四川成都","1968.03","2006.02","2008.05","2008.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"狄中健","部门三\n二级调研员","女","汉","四川成都","1987.08","2018.05","2020.01","2020.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"鲁可杰","部门五\n二级调研员","男","汉","四川成都","1988.02","2009.12","2014.12","2014.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"赵个毅","部门一\n四级调研员","女","汉","四川成都","1956.03","2020.01","2022.03","2022.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"沈看健","部门五\n一级主任科员","男","汉","四川成都","2000.09","2020.02","2022.01","2022.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"花说话健","部门二\n三级主任科员","男","汉","四川成都","1984.12","2005.08","2022.11","2022.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"昌走军","部门二\n三级主任科员","女","汉","四川成都","1964.12","2012.11","2016.09","2016.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"钱就健","部门三\n三级调研员","男","汉","四川成都","1973.12","1996.10","2017.12","2017.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"苏我健","部门四\n三级调研员","女","汉","四川成都","1983.08","2020.10","2022.10","2022.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"汪走勇","部门三\n一级主任科员","女","汉","四川成都","1982.01","2018.07","2021.12","2021.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"顾走毅","部门三\n四级主任科员","男","汉","四川成都","1998.04","2019.03","2022.03","2022.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"苏样刚","部门一\n三级调研员","男","汉","四川成都","1956.07","1981.05","2000.09","2000.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"奚有杰","部门四\n一级主任科员","女","汉","四川成都","1956.12","1984.06","1996.04","1996.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"施使强","部门一\n二级科员","男","汉","四川成都","1965.09","2006.08","2016.12","2016.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"孟国勇","部门四\n二级调研员","男","汉","四川成都","1966.09","1986.03","1998.03","1998.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"吕使峰","部门二\n三级主任科员","女","汉","四川成都","1959.09","1994.08","2003.05","2003.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"郑时毅","部门五\n二级科员","女","汉","四川成都","1959.09","1995.08","2009.04","2009.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"郎本峰","部门四\n副处长","男","汉","四川成都","1965.08","2019.06","2022.09","2022.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"贝做强","部门二\n二级调研员","男","汉","四川成都","1956.11","1979.03","1998.05","1998.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"狄起来峰","部门二\n四级调研员","女","汉","四川成都","1968.08","1990.09","2018.11","2018.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"水好俊","部门二\n四级调研员","女","汉","四川成都","1966.09","1999.06","2012.08","2012.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"吴有毅","部门三\n四级调研员","女","汉","四川成都","1964.01","2001.12","2015.04","2015.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"汪起健","部门四\n二级主任科员","女","汉","四川成都","1998.07","2020.06","2022.01","2022.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"邬很俊","部门二\n二级调研员","女","汉","四川成都","1969.10","2001.05","2017.03","2017.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"昌子俊","部门四\n四级调研员","女","汉","四川成都","1985.03","2007.03","2019.07","2019.07","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"安使刚","部门四\n二级调研员","女","汉","四川成都","1959.04","1981.08","1992.08","1992.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"熊看军","部门三\n四级调研员","女","汉","四川成都","1998.07","2020.07","2022.10","2022.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"孙好军","部门五\n三级主任科员","女","汉","四川成都","1983.03","2003.12","2017.07","2017.07","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"姚他杰","部门一\n二级主任科员","男","汉","四川成都","1969.05","2007.10","2019.11","2019.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"水起来伟","部门二\n三级调研员","男","汉","四川成都","1986.01","2020.08","2022.11","2022.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"陶就杰","部门二\n二级调研员","女","汉","四川成都","1984.08","2017.12","2022.04","2022.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"魏见勇","部门四\n二级调研员","女","汉","四川成都","1995.08","2016.06","2022.09","2022.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"和个健","部门二\n二级主任科员","男","汉","四川成都","1960.04","2015.07","2017.12","2017.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"毕么杰","部门四\n二级调研员","女","汉","四川成都","1990.06","2019.02","2021.12","2021.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
